,Person Description,Place Code,Customer Order,Additional Features in market,Promotion Name,Store Kind,Store Sales,Store Cost,Gross Weight,Net Weight,Is Recyclable?,Min. Person Yearly Income,Store Area,Grocery Area,Frozen Area,Meat Area,Cost
mc_ID_5651,"Single Male with one child, education: bachelors degree working as professional",B08am_WA,"Meat from Frozen Foods department, Ordered Brand : Imagine",['Coffee Bar'],Promo Big,Small Grocery,0.91 M,0.3822 M,14.4051,11.4834,yes,110K+,2624.37,2069.04,,220.55,406.371
mc_ID_5652,"Married Female with two children, education: bachelors degree working as professional",B14on_WA,"Snack Foods from Snack Foods department, Ordered Brand : Horatio","['Bar For Salad', 'Ready Food']",Roller Savings (High) ,Supermarket,11.28 M,4.8504 M,26.6008,22.0946,yes,90K+,3690.17,2265.9,853.22,570.73,356.4245
mc_ID_5653,"Married Male with two children, education: partial high school working as manual",T02ma_WA,"Bread from Baked Goods department, Ordered Brand : Fantastic","['Florist', 'Coffee Bar', 'Bar For Salad', 'Ready Food']",Sale : Double Down,Deluxe,11.96 M,4.3056 M,19.6235,16.7163,yes,10K+,3148.01,2052.87,654.13,437.32,500.7202
mc_ID_5654,"Single Male with four children, education: high school degree working as skilled manual",L05es_CA,"Meat from Meat department, Ordered Brand : Gerolli",['Florist'],Weekend Discount,Supermarket,13.52 M,4.3264 M,20.0596,17.1524,yes,30K+,2192.32,1321.73,523.32,348.85,279.1251
mc_ID_5655,"Married Female with three children, education: partial high school working as manual",H11go_ZA,"Vegetables from Produce department, Ordered Brand : Hermanos","['Ready Food', 'Coffee Bar', 'Florist', 'Bar For Salad', 'Video Store']",Price Winners,,8.67 M,3.6414 M,12.6172,,no,10K+,,2038.11,481.98,322.59,453.9117
mc_ID_5656,"Married Female with three children, education: high school degree working as skilled manual",T02ma_WA,"Dairy from Dairy department, Ordered Brand : Carlson","['Ready Food', 'Florist', 'Coffee Bar', 'Bar For Salad']",Full Free,Deluxe,6.6 M,3.3 M,24.8564,21.9493,no,30K+,3143.69,2055.29,654.13,437.7,288.5914
mc_ID_5657,"Single Female with three children, education: bachelors degree working as management",C15ho_ZA,"Magazines from Periodicals department, Ordered Brand : Gauss","['Ready Food', 'Coffee Bar', 'Florist', 'Bar For Salad']",Shelf Emptiers,Gourmet,3.32 M,1.0292 M,22.8214,19.7689,yes,50K+,2207.28,1564.86,385.45,258.3,773.0986
mc_ID_5658,"Married Female with one child, education: partial college working as skilled manual",P07nd_OR,"Miscellaneous from Checkout department, Ordered Brand : James Bay",[],Save Price,Supermarket,5.16 M,2.5284 M,14.6813,10.3205,yes,30K+,1887.7,1508,227.8,,428.0755
mc_ID_5659,"Married Male with one child, education: partial high school working as manual",B06ls_CA,"Frozen Desserts from Frozen Foods department, Ordered Brand : Carrington","['Bar For Salad', 'Florist', 'Coffee Bar', 'Video Store', 'Ready Food']",You Save Days,Gourmet,4.2 M,1.386 M,16.7163,12.3555,no,10K+,2200.69,1424.85,465.54,310.3,689.3663
mc_ID_5660,"Married Male with five children, education: partial high school working as manual",B06ls_CA,"Canned Soup from Canned Foods department, Ordered Brand : Blue Label","['Coffee Bar', 'Ready Food', 'Bar For Salad', 'Video Store', 'Florist']",Two Day Sale,Gourmet,11.65 M,5.359 M,28.6358,27.1822,no,10K+,2205.65,,465.54,310.85,783.1925
mc_ID_5661,"Married Female with two children, education: partial high school working as manual",M10da_YU,"Paper Products from Household department, Ordered Brand : High Quality","['Video Store', 'Bar For Salad', 'Coffee Bar', 'Ready Food', 'Florist']",,Deluxe,13.28 M,6.3744 M,,24.275,no,30K+,2863.94,1871.16,593.93,395.95,474.7271
mc_ID_5662,"Married Male with five children, education: high school degree working as manual",V13er_BC,"Jams and Jellies from Baking Goods department, Ordered Brand : CDR","['Florist', 'Coffee Bar', 'Video Store', 'Ready Food', 'Bar For Salad']",I Cant Believe It Sale,Deluxe,10.8 M,3.996 M,31.1069,29.5079,yes,30K+,2150.19,1525.28,,250.21,535.9181
mc_ID_5663,"Married Male with two children, education: high school degree working as manual",V19ia_BC,"Vegetables from Frozen Foods department, Ordered Brand : Big Time","['Florist', 'Coffee Bar']",Save It (Sale),Mid-Size,4.14 M,1.863 M,27.4729,22.9668,yes,30K+,3200.69,2551.4,389.54,259.66,394.5512
mc_ID_5664,"Single Female with three children, education: bachelors degree working as professional",L05es_CA,"Hardware from Household department, Ordered Brand : Red Wing",['Florist'],,Supermarket,7.04 M,2.5344 M,,27.909,yes,130K+,2193.4,1320.15,523.32,348.85,281.4786
mc_ID_5665,"Married Male with three children, education: partial high school working as skilled manual",S01em_OR,"Dairy from Dairy department, Ordered Brand : Club","['Video Store', 'Bar For Salad', 'Ready Food', 'Florist', 'Coffee Bar']",Save Price,Deluxe,4.41 M,1.3671 M,12.2247,7.8494,no,10K+,,1732.2,503.07,,419.9167
mc_ID_5666,"Single Female with four children, education: partial high school working as skilled manual",L05es_CA,"Side Dishes from Deli department, Ordered Brand : Moms",['Florist'],,Supermarket,4.88 M,1.952 M,,28.0543,yes,10K+,2195.77,,525.32,,427.7617
mc_ID_5667,"Married Female with one child, education: bachelors degree working as management",B14on_WA,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice","['Bar For Salad', 'Ready Food']",Sales Days,Supermarket,10.98 M,5.3802 M,22.0946,19.0421,no,150K+,3687.69,2265.9,,568.75,327.9733
mc_ID_5668,"Single Male with five children, education: high school degree working as skilled manual",S03le_WA,"Vegetables from Produce department, Ordered Brand : Hermanos",['Coffee Bar'],,Supermarket,11.56 M,5.0864 M,,9.71,no,30K+,1970.94,1236.07,440.92,293.95,349.2594
mc_ID_5669,"Single Male with two children, education: high school degree working as skilled manual",L05es_CA,"Baking Goods from Baking Goods department, Ordered Brand : CDR",['Florist'],Save Price,Supermarket,7.04 M,2.5344 M,31.1069,28.0543,yes,30K+,2194.35,1317.96,523.32,348.85,670.486
mc_ID_5670,"Married Female with four children, education: bachelors degree working as professional",M12ty_DF,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel",[],Weekend Discount,Mid-Size,8.19 M,3.8493 M,14.0999,12.6317,no,50K+,3391.42,2085.67,783.64,522.49,577.7581
mc_ID_5671,"Married Male with three children, education: bachelors degree working as management",S01em_OR,"Vegetables from Canned Foods department, Ordered Brand : Bravo","['Ready Food', 'Video Store', 'Bar For Salad', 'Coffee Bar', 'Florist']",Lottery Cash Registerion,Deluxe,16.4 M,7.052 M,23.5482,20.641,no,50K+,2572.86,,503.07,333.66,313.0678
mc_ID_5672,"Married Female with five children, education: partial high school working as manual",T02ma_WA,"Decongestants from Health and Hygiene department, Ordered Brand : Bird Call","['Coffee Bar', 'Ready Food', 'Bar For Salad', 'Florist']",Save It (Sale),Deluxe,2.16 M,0.9504 M,25.1472,23.5482,yes,10K+,3144.86,2055.29,654.13,,728.9051
mc_ID_5673,"Married Male with one child, education: partial high school working as management",B06ls_CA,"Snack Foods from Snack Foods department, Ordered Brand : Horatio","['Florist', 'Bar For Salad', 'Coffee Bar', 'Ready Food', 'Video Store']",Two Day Sale,Gourmet,7.95 M,3.1005 M,31.6883,30.0894,yes,110K+,2198.68,1424.85,465.54,311.01,783.1925
mc_ID_5674,"Married Male with one child, education: bachelors degree working as professional",S03le_WA,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel",['Coffee Bar'],,Supermarket,5.24 M,1.7292 M,,20.641,no,50K+,1966.49,1236.07,440.92,293.27,364.1649
mc_ID_5675,"Married Male with two children, education: high school degree working as skilled manual",V13er_BC,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel","['Ready Food', 'Video Store', 'Coffee Bar', 'Bar For Salad', 'Florist']",Super Savers,Deluxe,6.6 M,2.64 M,12.0794,9.1722,no,50K+,2147.17,1525.28,373.1,248.79,755.9442
mc_ID_5676,"Married Male with two children, education: partial high school working as professional",B14on_WA,"Vegetables from Frozen Foods department, Ordered Brand : Big Time","['Ready Food', 'Bar For Salad']",Price Slashers,Supermarket,9.48 M,3.6972 M,19.1874,16.1349,yes,110K+,3692.61,2265.9,853.22,567,450.8783
mc_ID_5677,"Single Male with one child, education: partial college working as manual",S03le_WA,"Bread from Baked Goods department, Ordered Brand : Fantastic",['Coffee Bar'],Discount Frenzy,,3.0 M,1.11 M,11.5415,,yes,30K+,1970.94,1236.65,440.92,293.95,760.4943
mc_ID_5678,"Single Female with two children, education: high school degree working as skilled manual",B08am_WA,"Meat from Deli department, Ordered Brand : Lake",['Coffee Bar'],Two Day Sale,Small Grocery,2.86 M,1.0582 M,18.606,14.2452,no,30K+,2618.79,2069.04,330.83,220.55,389.635
mc_ID_5679,"Single Male with one child, education: high school degree working as manual",T02ma_WA,"Hot Beverages from Beverages department, Ordered Brand : Super","['Ready Food', 'Florist', 'Coffee Bar', 'Bar For Salad']",Sale : Double Down,Deluxe,5.48 M,2.6852 M,11.5706,8.6634,no,30K+,3150.05,2052.85,654.13,435.98,500.7202
mc_ID_5680,"Married Female with two children, education: partial high school working as professional",B08am_WA,"Breakfast Foods from Breakfast Foods department, Ordered Brand : Best",['Coffee Bar'],Two Day Sale,Small Grocery,4.94 M,1.7784 M,12.8934,9.9716,yes,130K+,2615.67,2069.04,330.83,220.55,389.635
mc_ID_5681,"Married Male with one child, education: bachelors degree working as management",P07nd_OR,"Canned Tuna from Canned Foods department, Ordered Brand : Better",[],Super Wallet Savers,Supermarket,6.0 M,1.86 M,20.641,19.0421,yes,50K+,1887.7,1508,227.8,151.9,733.1937
mc_ID_5682,"Married Male with three children, education: partial high school working as management",H11go_ZA,"Snack Foods from Snack Foods department, Ordered Brand : Fort West",[],Big Time Discounts,Mid-Size,5.04 M,2.3184 M,17.7338,16.1349,yes,110K+,3561.73,2819.7,447.7,298.5,328.1302
mc_ID_5683,"Single Female with three children, education: partial high school working as manual",S03le_WA,"Vegetables from Produce department, Ordered Brand : Ebony",['Coffee Bar'],Double Your Savings,Supermarket,5.19 M,1.7646 M,27.1822,24.275,no,10K+,1970.94,1236.07,440.92,293.95,493.8689
mc_ID_5684,"Married Female with No children, education: bachelors degree working as management",S01em_OR,"Snack Foods from Snack Foods department, Ordered Brand : Fort West","['Florist', 'Video Store', 'Bar For Salad', 'Coffee Bar', 'Ready Food']",Save Price,Deluxe,4.82 M,1.8316 M,14.2307,12.7625,yes,70K+,2572.86,1734.5,503.07,336.58,419.9167
mc_ID_5685,"Married Female with one child, education: bachelors degree working as professional",S04ne_WA,"Starchy Foods from Starchy Foods department, Ordered Brand : Medalist",[],Go For It,Supermarket,5.56 M,2.1684 M,27.1822,24.275,yes,70K+,2811.99,2049.72,457.36,304.91,509.6635
mc_ID_5686,"Married Male with three children, education: partial college working as clerical",H11go_ZA,"Electrical from Household department, Ordered Brand : Denny","['Video Store', 'Coffee Bar', 'Bar For Salad', 'Florist', 'Ready Food']",Tip Top Savings,Deluxe,4.54 M,1.589 M,30.8162,29.3626,no,30K+,2841.35,2038.11,481.98,322.1,416.2557
mc_ID_5687,"Married Male with No children, education: bachelors degree working as professional",O09ba_VE,"Canned Soup from Canned Foods department, Ordered Brand : Bravo","['Bar For Salad', 'Ready Food']",Wallet Savers,Supermarket,7.96 M,3.0248 M,26.8915,,yes,70K+,3227.93,2448.37,470.27,313.55,324.8876
mc_ID_5688,"Married Female with one child, education: partial high school working as professional",C15ho_ZA,"Frozen Entrees from Frozen Foods department, Ordered Brand : PigTail","['Bar For Salad', 'Ready Food', 'Florist', 'Coffee Bar']",Shelf Emptiers,,3.33 M,1.1988 M,26.7461,,yes,90K+,2207.28,1566.62,,,773.0986
mc_ID_5689,"Married Male with No children, education: graduate degree working as professional",B08am_WA,"Fruit from Produce department, Ordered Brand : Tell Tale",['Coffee Bar'],Sales Days,Small Grocery,3.44 M,1.5824 M,16.4256,13.5184,no,70K+,2620.42,,330.83,220.55,531.2111
mc_ID_5690,"Married Female with one child, education: high school degree working as manual",H11go_ZA,"Dairy from Dairy department, Ordered Brand : Booker","['Coffee Bar', 'Bar For Salad', 'Video Store', 'Florist', 'Ready Food']",,Deluxe,1.71 M,0.5985 M,,,no,30K+,2841.35,2038.11,481.98,320.04,416.2557
mc_ID_5691,"Married Male with three children, education: high school degree working as skilled manual",M12ty_DF,"Drinks from Beverages department, Ordered Brand : Fabulous",[],Two Day Sale,Mid-Size,7.53 M,3.012 M,15.4081,12.5009,yes,50K+,3391.8,2085.67,783.64,523.56,509.0882
mc_ID_5692,"Married Female with four children, education: bachelors degree working as professional",S01em_OR,"Snack Foods from Snack Foods department, Ordered Brand : Fort West","['Ready Food', 'Video Store', 'Bar For Salad', 'Florist', 'Coffee Bar']",Lottery Cash Registerion,Deluxe,6.6 M,2.574 M,12.0357,9.114,yes,50K+,2572.86,1734.5,505.07,335.38,290.7357
mc_ID_5693,"Married Female with two children, education: bachelors degree working as management",C15ho_ZA,"Vegetables from Produce department, Ordered Brand : Tell Tale","['Ready Food', 'Coffee Bar', 'Florist', 'Bar For Salad']",Shelf Emptiers,Gourmet,14.04 M,7.02 M,28.4904,27.0368,yes,70K+,,1564.86,385.45,256.97,773.0986
mc_ID_5694,"Single Female with three children, education: partial high school working as skilled manual",L05es_CA,"Fruit from Produce department, Ordered Brand : Ebony",['Florist'],Two for One,Supermarket,6.33 M,2.8485 M,28.0543,,yes,10K+,2190.41,1320.15,523.32,349.34,360.7131
mc_ID_5695,"Single Female with one child, education: partial high school working as skilled manual",S04ne_WA,"Vegetables from Produce department, Ordered Brand : High Top",[],Sales Days,,2.64 M,1.0032 M,21.5132,,no,10K+,2814.15,,457.36,304.91,610.5502
mc_ID_5696,"Single Male with three children, education: partial high school working as skilled manual",M10da_YU,"Jams and Jellies from Baking Goods department, Ordered Brand : Super","['Ready Food', 'Video Store', 'Bar For Salad', 'Coffee Bar', 'Florist']",Big Time Saving,Deluxe,2.12 M,0.954 M,15.6988,12.7916,no,10K+,2864.21,1871.16,593.93,395.95,676.6574
mc_ID_5697,"Single Female with one child, education: graduate degree working as professional",S01em_OR,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel","['Video Store', 'Ready Food', 'Florist', 'Bar For Salad', 'Coffee Bar']",Big Time Discounts,,5.58 M,1.8414 M,13.9981,,yes,10K+,2568.44,1734.5,503.07,335.38,583.1973
mc_ID_5698,"Single Female with three children, education: bachelors degree working as professional",S01em_OR,"Meat from Meat department, Ordered Brand : Quick","['Ready Food', 'Video Store', 'Coffee Bar', 'Florist', 'Bar For Salad']",Full Free,Deluxe,10.92 M,4.0404 M,22.676,21.2225,yes,50K+,2572.88,1734.5,503.07,335.38,752.2309
mc_ID_5699,"Married Male with two children, education: graduate degree working as professional",B14on_WA,"Drinks from Beverages department, Ordered Brand : Fabulous","['Bar For Salad', 'Ready Food']",Super Duper Savers,Supermarket,15.8 M,7.742 M,,23.5482,no,150K+,3687.88,2265.9,855.22,568.14,677.285
mc_ID_5700,"Married Female with one child, education: bachelors degree working as professional",S03le_WA,"Baking Goods from Baking Goods department, Ordered Brand : Landslide",['Coffee Bar'],Sale : Double Down,Supermarket,2.32 M,1.044 M,10.5676,6.1923,yes,50K+,1970.94,1236.07,440.92,293.19,309.5637
mc_ID_5701,"Single Female with one child, education: bachelors degree working as professional",B06ls_CA,"Fruit from Produce department, Ordered Brand : Tri-State","['Bar For Salad', 'Coffee Bar', 'Ready Food', 'Video Store', 'Florist']",You Save Days,Gourmet,8.58 M,4.2042 M,13.6202,10.6984,yes,50K+,2200,,465.54,310.3,689.3663
mc_ID_5702,"Single Male with one child, education: partial college working as management",M10da_YU,"Vegetables from Produce department, Ordered Brand : High Top","['Bar For Salad', 'Ready Food', 'Video Store', 'Coffee Bar', 'Florist']",GLD,Deluxe,4.29 M,2.1021 M,31.8337,30.2347,no,70K+,2861.13,1871.16,,,484.1411
mc_ID_5703,"Married Male with three children, education: partial college working as clerical",H11go_ZA,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Pearl","['Florist', 'Ready Food', 'Bar For Salad', 'Coffee Bar', 'Video Store']",Go For It,Deluxe,1.71 M,0.7353 M,14.347,9.9716,yes,30K+,2840.69,2038.11,481.98,323.19,455.3761
mc_ID_5704,"Married Female with No children, education: high school degree working as manual",S03le_WA,"Bread from Baked Goods department, Ordered Brand : Fantastic",['Coffee Bar'],Best Price Savers,Supermarket,5.98 M,2.8106 M,19.6235,16.7163,yes,30K+,1970.94,1236.07,440.92,294.03,349.2594
mc_ID_5705,"Married Female with four children, education: partial high school working as management",S03le_WA,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Walrus",['Coffee Bar'],Super Duper Savers,,10.36 M,3.5224 M,25.5832,,no,110K+,1970.94,1236.07,440.92,293.95,418.4
mc_ID_5706,"Married Male with three children, education: high school degree working as manual",V13er_BC,"Breakfast Foods from Frozen Foods department, Ordered Brand : Carrington","['Ready Food', 'Video Store', 'Coffee Bar', 'Florist', 'Bar For Salad']",Price Slashers,Deluxe,1.71 M,0.5643 M,11.1054,8.1837,no,30K+,2147.17,1525.28,373.1,249.2,403.9652
mc_ID_5707,"Married Male with three children, education: high school degree working as manual",H11go_ZA,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice","['Video Store', 'Bar For Salad', 'Florist', 'Ready Food', 'Coffee Bar']",Price Winners,Deluxe,14.2 M,7.1 M,16.7163,12.3555,no,30K+,2840.18,2035.32,481.98,319.8,453.9117
mc_ID_5708,"Single Female with four children, education: high school degree working as professional",B06ls_CA,"Breakfast Foods from Breakfast Foods department, Ordered Brand : Jeffers","['Bar For Salad', 'Ready Food', 'Florist', 'Coffee Bar', 'Video Store']",Save It (Sale),Gourmet,6.16 M,3.0184 M,12.937,10.0153,yes,90K+,2201.44,1426.33,465.54,310.3,427.7617
mc_ID_5709,"Married Female with four children, education: high school degree working as manual",S01em_OR,"Cold Remedies from Health and Hygiene department, Ordered Brand : Steady","['Bar For Salad', 'Coffee Bar', 'Video Store', 'Ready Food', 'Florist']",Bag Stuffer,Deluxe,2.01 M,0.9045 M,27.909,25.0018,yes,30K+,2572.1,1734.5,503.07,335.38,662.2226
mc_ID_5710,"Married Female with four children, education: high school degree working as professional",S04ne_WA,"Meat from Deli department, Ordered Brand : Lake",[],Sales Days,Supermarket,1.92 M,0.576 M,11.3235,8.4018,yes,150K+,2811.99,2049.72,,303.63,610.5502
mc_ID_5711,"Single Male with five children, education: high school degree working as skilled manual",M12ty_DF,"Cold Remedies from Health and Hygiene department, Ordered Brand : Steady",[],Sale Sale Sale,Mid-Size,2.01 M,0.8844 M,27.909,25.0018,yes,30K+,3394.04,2086.89,783.64,522.49,739.4697
mc_ID_5712,"Single Female with one child, education: graduate degree working as professional",B06ls_CA,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel","['Florist', 'Bar For Salad', 'Video Store', 'Coffee Bar', 'Ready Food']",Roller Savings (High) ,Gourmet,6.36 M,1.9716 M,24.7111,21.8039,yes,110K+,,1424.85,,,532.6232
mc_ID_5713,"Married Male with two children, education: high school degree working as skilled manual",M10da_YU,"Canned Soup from Canned Foods department, Ordered Brand : Blue Label","['Video Store', 'Florist', 'Ready Food', 'Bar For Salad', 'Coffee Bar']",Two Day Sale,Deluxe,7.0 M,2.24 M,,,yes,30K+,,1871.16,,396.92,402.0824
mc_ID_5714,"Married Male with No children, education: high school degree working as manual",O09ba_VE,"Snack Foods from Snack Foods department, Ordered Brand : Fast","['Bar For Salad', 'Ready Food']",Money Savers,Supermarket,6.93 M,2.4948 M,13.1114,10.2042,yes,30K+,,2448.37,470.27,313.55,290.0035
mc_ID_5715,"Married Male with three children, education: partial high school working as skilled manual",V13er_BC,"Vegetables from Produce department, Ordered Brand : Tell Tale","['Florist', 'Video Store', 'Coffee Bar', 'Ready Food', 'Bar For Salad']",Price Cutters,Deluxe,7.48 M,3.5156 M,21.3678,19.7689,yes,30K+,2149.24,1525.28,373.1,246.87,642.0871
mc_ID_5716,"Single Female with one child, education: high school degree working as manual",S01em_OR,"Drinks from Beverages department, Ordered Brand : Skinner","['Florist', 'Video Store', 'Bar For Salad', 'Ready Food', 'Coffee Bar']",Sale : Double Down,Deluxe,1.34 M,0.6298 M,,7.4279,no,30K+,2572.86,1734.5,503.07,,265.6317
mc_ID_5717,"Married Male with three children, education: bachelors degree working as professional",S01em_OR,"Specialty from Carousel department, Ordered Brand : ADJ","['Video Store', 'Florist', 'Coffee Bar', 'Bar For Salad', 'Ready Food']",Price Slashers,Deluxe,13.8 M,5.934 M,28.4904,27.0368,yes,50K+,2569.62,1734.49,503.07,335.38,282.9953
mc_ID_5718,"Single Female with five children, education: partial high school working as manual",S03le_WA,"Cleaning Supplies from Household department, Ordered Brand : High Quality",['Coffee Bar'],Weekend Discount,Supermarket,5.73 M,1.719 M,31.8337,27.3275,yes,10K+,1970.94,1234.64,440.92,295.12,364.1649
mc_ID_5719,"Married Female with one child, education: bachelors degree working as professional",T02ma_WA,"Meat from Deli department, Ordered Brand : Red Spade","['Coffee Bar', 'Ready Food', 'Florist', 'Bar For Salad']",Full Free,Deluxe,4.71 M,1.4601 M,8.9105,7.4569,no,50K+,3145.51,2056.2,654.13,436.09,288.5914
mc_ID_5720,"Single Male with two children, education: high school degree working as manual",T02ma_WA,"Side Dishes from Deli department, Ordered Brand : Red Spade","['Ready Food', 'Bar For Salad', 'Florist', 'Coffee Bar']",Save Price,Deluxe,6.2 M,2.356 M,24.275,21.3678,yes,30K+,3145.51,2055.29,654.13,436.09,584.191
mc_ID_5721,"Single Female with two children, education: graduate degree working as professional",O09ba_VE,"Dairy from Dairy department, Ordered Brand : Even Better","['Ready Food', 'Bar For Salad']",Save Price,Supermarket,8.07 M,3.8736 M,10.7857,7.8785,yes,70K+,3237.11,2448.37,470.27,313.55,406.4756
mc_ID_5722,"Married Female with two children, education: bachelors degree working as professional",M10da_YU,"Carbonated Beverages from Beverages department, Ordered Brand : Token","['Video Store', 'Ready Food', 'Coffee Bar', 'Bar For Salad', 'Florist']",Discount Frenzy,Deluxe,5.6 M,2.632 M,23.8389,20.7864,yes,70K+,2861.75,1871.16,595.93,395.95,326.352
mc_ID_5723,"Single Female with two children, education: partial high school working as skilled manual",T02ma_WA,"Carbonated Beverages from Beverages department, Ordered Brand : Washington","['Ready Food', 'Florist', 'Coffee Bar', 'Bar For Salad']",Dollar Days,Deluxe,7.83 M,3.2886 M,26.1647,24.7111,yes,30K+,3141.4,2054.79,654.13,436.09,725.9763
mc_ID_5724,"Single Male with one child, education: bachelors degree working as professional",S01em_OR,"Cold Remedies from Health and Hygiene department, Ordered Brand : Faux Products","['Video Store', 'Ready Food', 'Florist', 'Bar For Salad', 'Coffee Bar']",Bag Stuffer,Deluxe,1.06 M,0.3286 M,,18.1699,no,90K+,2572.86,1734.5,503.07,335.38,662.2226
mc_ID_5725,"Single Male with two children, education: high school degree working as professional",S01em_OR,"Jams and Jellies from Baking Goods department, Ordered Brand : Super","['Coffee Bar', 'Ready Food', 'Florist', 'Bar For Salad', 'Video Store']",Big Time Discounts,Deluxe,5.04 M,2.3184 M,24.1296,21.2225,no,90K+,2572.77,1734.5,,335.38,583.1973
mc_ID_5726,"Married Female with four children, education: partial college working as professional",B06ls_CA,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Pearl","['Coffee Bar', 'Ready Food', 'Florist', 'Bar For Salad', 'Video Store']",Two Day Sale,Gourmet,7.44 M,3.2736 M,14.972,12.0648,no,30K+,2200.69,,465.54,,588.4796
mc_ID_5727,"Married Male with two children, education: high school degree working as manual",O09ba_VE,"Canned Soup from Canned Foods department, Ordered Brand : Just Right","['Ready Food', 'Bar For Salad']",Three for One,Supermarket,1.83 M,0.6405 M,17.8792,16.4256,yes,30K+,3231.39,2448.37,472.27,313.63,656.2604
mc_ID_5728,"Single Female with one child, education: high school degree working as manual",B06ls_CA,"Side Dishes from Deli department, Ordered Brand : Lake","['Video Store', 'Bar For Salad', 'Coffee Bar', 'Florist', 'Ready Food']",Price Cutters,Gourmet,5.04 M,1.9152 M,19.1874,14.6813,no,30K+,2200.69,,465.54,310.3,675.716
mc_ID_5729,"Single Female with two children, education: partial high school working as skilled manual",T02ma_WA,"Bathroom Products from Health and Hygiene department, Ordered Brand : Bird Call","['Coffee Bar', 'Ready Food', 'Bar For Salad', 'Florist']",Dollar Days,Deluxe,6.84 M,3.078 M,23.5482,22.0946,yes,30K+,3145.51,2055.88,656.13,436.09,725.9763
mc_ID_5730,"Single Male with No children, education: bachelors degree working as professional",P07nd_OR,"Baking Goods from Baking Goods department, Ordered Brand : BBB Best",[],Price Destroyers,Supermarket,1.89 M,0.9261 M,11.2217,8.3,no,50K+,,1508,227.8,151.9,635.1312
mc_ID_5731,"Married Female with two children, education: bachelors degree working as management",S04ne_WA,"Frozen Entrees from Frozen Foods department, Ordered Brand : Big Time",[],Wallet Savers,Supermarket,6.6 M,3.234 M,22.8214,21.2225,yes,30K+,2811.65,2049.72,,304.24,418.1385
mc_ID_5732,"Married Female with two children, education: partial high school working as skilled manual",S01em_OR,"Canned Clams from Canned Foods department, Ordered Brand : Pleasant","['Coffee Bar', 'Video Store', 'Florist', 'Bar For Salad', 'Ready Food']",Sale : Double Down,Deluxe,3.16 M,1.2008 M,14.0272,11.1054,yes,10K+,2571.49,,503.07,335.38,265.6317
mc_ID_5733,"Married Female with five children, education: high school degree working as management",C15ho_ZA,"Baking Goods from Baking Goods department, Ordered Brand : Plato","['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Florist']",Saving Days,Gourmet,2.6 M,1.066 M,21.0771,18.1699,yes,110K+,2207.28,1565.71,385.45,258.18,474.0995
mc_ID_5734,"Single Female with five children, education: bachelors degree working as management",S04ne_WA,"Snack Foods from Snack Foods department, Ordered Brand : Fast",[],,Supermarket,10.6 M,4.452 M,,27.1822,yes,70K+,2816.45,2049.72,457.36,304.91,610.5502
mc_ID_5735,"Married Male with one child, education: high school degree working as manual",L05es_CA,"Meat from Frozen Foods department, Ordered Brand : Imagine",['Florist'],Price Destroyers,Supermarket,1.82 M,0.728 M,14.4051,11.4834,yes,30K+,2192.32,1321.48,523.32,347.02,710.8616
mc_ID_5736,"Single Male with one child, education: partial high school working as manual",L05es_CA,"Vegetables from Produce department, Ordered Brand : Ebony",['Florist'],Roller Savings (High) ,Supermarket,11.32 M,5.5468 M,29.0719,26.1647,yes,10K+,2192.32,1320.15,523.32,350.26,532.6232
mc_ID_5737,"Married Female with five children, education: partial high school working as manual",L05es_CA,"Snack Foods from Snack Foods department, Ordered Brand : Fast",['Florist'],Two for One,Supermarket,2.4 M,0.816 M,24.5657,21.5132,no,10K+,2192.32,1320.15,523.32,348.85,360.7131
mc_ID_5738,"Married Male with two children, education: bachelors degree working as management",O09ba_VE,"Cold Remedies from Health and Hygiene department, Ordered Brand : Steady","['Bar For Salad', 'Ready Food']",Save Price,Supermarket,2.68 M,1.2864 M,27.909,25.0018,yes,50K+,3231.66,,470.27,313.55,406.4756
mc_ID_5739,"Single Male with three children, education: high school degree working as manual",B06ls_CA,"Fruit from Produce department, Ordered Brand : Tri-State","['Florist', 'Ready Food', 'Bar For Salad', 'Video Store', 'Coffee Bar']",Shelf Emptiers,Gourmet,5.31 M,2.3895 M,24.8564,23.4028,no,30K+,,1424.4,,309.34,718.2882
mc_ID_5740,"Single Female with three children, education: partial college working as management",O09ba_VE,"Vegetables from Produce department, Ordered Brand : Tri-State","['Ready Food', 'Bar For Salad']",Super Savers,Supermarket,7.86 M,3.3012 M,18.606,17.1524,no,70K+,3228.22,2447.14,470.27,313.55,754.7413
